player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
Cam Whitmore,0,6.0,7.7,5.7,2.0,0.3,0.5,0.0,0.481,0.519,0.3
Cameron Johnson,7,21.0,28.7,14.4,5.0,2.6,0.8,0.1,0.461,0.568,1.1
Cameron Payne,0,28.0,16.4,6.1,1.2,2.5,0.4,0.1,0.447,0.553,0.8
Caris LeVert,0,22.0,29.3,15.1,3.6,3.7,1.1,0.4,0.414,0.479,1.5
Cason Wallace,1,26.0,21.7,7.0,2.2,1.5,0.5,0.5,0.568,0.676,0.5
Cedi Osman,0,27.0,19.0,8.3,2.4,1.8,0.4,0.2,0.467,0.564,0.7
Charles Bassey,0,19.0,10.8,3.3,4.0,1.1,0.4,0.9,0.725,0.725,0.8
Charlie Brown Jr.,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Chet Holmgren,39,26.0,29.7,17.2,7.9,2.5,0.8,2.7,0.531,0.597,1.9
Chimezie Metu,0,18.0,10.8,4.4,2.0,0.4,0.4,0.3,0.5,0.569,0.5
Chris Boucher,0,25.0,14.2,6.4,3.8,0.3,0.3,0.6,0.45,0.517,0.5
Chris Duarte,0,24.0,12.0,3.6,1.6,0.8,0.5,0.1,0.354,0.439,0.5
Chris Livingston,0,5.0,4.2,1.4,1.0,0.2,0.2,0.0,0.75,0.875,0.2
Chris Paul,13,25.0,27.4,8.4,3.9,7.7,1.2,0.0,0.392,0.461,1.2
Christian Braun,2,30.0,20.1,8.4,3.7,1.8,0.4,0.3,0.471,0.52,0.7
Christian Wood,3,26.0,18.8,6.8,5.5,0.9,0.2,0.6,0.463,0.526,1.2
Chuma Okeke,0,13.0,4.7,1.4,1.1,0.3,0.2,0.0,0.389,0.5,0.2
Clint Capela,2,27.0,25.8,11.7,10.6,1.1,0.7,1.7,0.588,0.588,0.9
Coby White,3,30.0,34.7,17.6,4.1,4.9,0.8,0.2,0.457,0.572,1.9
Cody Zeller,0,22.0,10.0,1.9,3.1,1.2,0.2,0.1,0.333,0.333,0.4
Colby Jones,0,11.0,6.8,2.8,1.4,0.2,0.2,0.1,0.452,0.468,0.4
Cole Anthony,6,27.0,25.4,15.1,4.4,3.7,0.7,0.5,0.457,0.518,1.8
Cole Swider,0,3.0,9.7,5.3,0.3,1.0,0.3,0.3,0.429,0.571,0.3
Colin Castleton,0,4.0,7.0,3.0,1.8,0.8,0.0,0.0,0.625,0.625,0.0
Collin Gillespie,0,11.0,7.8,1.8,0.4,0.7,0.5,0.0,0.4,0.475,0.4
Collin Sexton,3,29.0,23.2,15.1,2.8,3.5,0.6,0.2,0.457,0.517,1.9
Corey Kispert,0,27.0,23.0,11.2,2.3,1.5,0.4,0.2,0.45,0.569,1.0
Cory Joseph,0,13.0,10.8,2.0,0.9,1.8,0.3,0.2,0.265,0.324,0.5
Craig Porter Jr.,0,18.0,15.4,6.8,2.1,3.2,0.6,0.5,0.495,0.52,0.9
D'Angelo Russell,9,28.0,30.2,15.3,3.1,6.3,0.9,0.5,0.462,0.542,1.9
D'Moi Hodge,0,7.0,5.9,2.0,0.0,0.7,0.1,0.1,0.333,0.433,0.1
DaQuan Jeffries,0,10.0,3.0,1.1,0.5,0.2,0.0,0.0,0.417,0.458,0.1
Daishen Nix,0,6.0,3.5,1.3,0.2,0.0,0.2,0.0,0.375,0.5,0.0
Dalano Banton,1,12.0,7.8,2.8,2.1,0.4,0.2,0.2,0.483,0.5,0.4
Dalen Terry,0,14.0,8.4,1.4,1.6,1.1,0.1,0.2,0.333,0.381,0.3
Damian Jones,0,12.0,4.8,0.9,1.0,0.3,0.1,0.2,0.556,0.556,0.3
Damian Lillard,37,26.0,35.3,26.2,4.5,7.0,1.1,0.2,0.436,0.531,2.7
Daniel Gafford,1,25.0,25.5,11.0,7.5,1.7,0.7,2.2,0.693,0.693,1.1
Daniel Theis,0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
Daniel Theis,0,17.0,17.1,6.9,3.9,0.9,0.4,0.9,0.479,0.521,0.6
Daniel Theis,0,18.0,16.6,6.6,3.7,0.8,0.4,0.9,0.47,0.51,0.6
Danilo Gallinari,0,24.0,15.2,7.2,3.0,1.3,0.3,0.1,0.444,0.52,0.5
Danny Green,0,2.0,9.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
Dante Exum,0,24.0,17.4,8.6,2.9,2.4,0.5,0.2,0.57,0.641,0.6
Danuel House Jr.,0,17.0,12.4,3.9,1.3,0.9,0.3,0.1,0.449,0.561,0.6
Dario Saric,0,28.0,20.8,10.7,5.8,2.1,0.6,0.2,0.466,0.572,1.2
Dariq Whitehead,0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,,,0.0
Darius Garland,8,20.0,34.0,20.7,2.8,5.9,1.6,0.2,0.47,0.526,3.8
David Roddy,0,26.0,23.8,8.1,4.2,1.3,0.7,0.3,0.406,0.47,1.0
Davion Mitchell,0,21.0,13.5,3.7,0.9,2.0,0.2,0.1,0.341,0.415,0.6
Davis Bertans,0,9.0,7.9,3.9,0.9,0.8,0.2,0.2,0.368,0.553,0.1
Day'Ron Sharpe,0,28.0,16.0,6.8,7.1,1.3,0.4,0.8,0.538,0.538,1.1
De'Aaron Fox,27,21.0,34.8,29.7,4.4,6.2,1.6,0.4,0.482,0.558,2.5
De'Andre Hunter,0,24.0,30.3,14.9,4.1,1.4,0.8,0.4,0.46,0.547,1.5
De'Anthony Melton,2,27.0,28.8,11.6,4.0,3.4,1.6,0.5,0.395,0.5,1.2
DeAndre Jordan,5,12.0,13.3,4.8,4.8,1.0,0.3,0.4,0.59,0.59,0.9
DeMar DeRozan,12,28.0,36.4,22.3,3.7,5.4,1.0,0.9,0.456,0.483,1.4
Dean Wade,1,22.0,21.3,5.7,4.6,0.9,0.9,0.4,0.436,0.612,0.5
Deandre Ayton,1,23.0,31.8,13.1,11.0,1.6,1.1,0.7,0.55,0.55,2.1
Dejounte Murray,8,28.0,34.4,20.1,4.5,5.4,1.5,0.4,0.454,0.521,2.1
Delon Wright,0,8.0,17.6,5.0,2.5,4.4,1.6,0.1,0.367,0.433,0.5
Deni Avdija,1,28.0,26.9,11.4,5.6,4.0,0.8,0.3,0.498,0.547,1.5
Dennis Schroder,0,28.0,32.0,14.4,2.8,6.8,1.0,0.1,0.421,0.488,1.7
Dennis Smith Jr.,0,14.0,17.7,6.7,3.1,3.6,0.9,0.2,0.414,0.46,0.9
Dereck Lively II,6,23.0,25.3,8.9,7.7,1.1,0.7,1.6,0.734,0.734,1.2
Dereon Seabron,0,5.0,10.4,2.8,1.4,0.8,0.4,0.2,0.308,0.346,0.0
Derrick Jones Jr.,3,27.0,24.6,9.9,3.6,1.1,0.8,0.8,0.475,0.577,0.9
Derrick Rose,0,15.0,18.9,9.1,2.0,3.5,0.5,0.1,0.438,0.483,1.4
Derrick White,5,24.0,32.6,16.5,4.0,5.1,1.3,1.2,0.492,0.618,1.7
